warn: LLAMA_API_KEY environment variable is set, but will be overwritten by command line argument --api-key
warning: no usable GPU found, --gpu-layers option will be ignored
warning: one possible reason is that llama.cpp was compiled without GPU support
warning: consult docs/build.md for compilation instructions
0.00.006.988 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.009.000 I srv    load_model: loading model '/home/rojan-upreti/Desktop/nvdiahackathon/llm/qwen2.5-0.5b/Qwen2.5-0.5B-Instruct-Q4_K_M.gguf'
0.00.615.793 W load: control-looking token: 128247 '</s>' was not control-type; this is probably a bug in the model. its type will be overridden
0.01.124.965 I cmn          init: llama threadpool init, n_threads = 6
0.01.203.563 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 8192, kv_unified = 'true'
0.01.214.336 I srv  llama_server: model loaded
0.01.214.344 I srv  llama_server: listening on http://127.0.0.1:8081
3.15.855.474 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
3.15.855.617 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
3.17.214.392 I slot print_timing: id  3 | task 0 | prompt eval time =    1324.99 ms /   414 tokens (    3.20 ms per token,   312.46 tokens per second)
3.17.214.410 I slot print_timing: id  3 | task 0 |        eval time =      33.67 ms /     2 tokens (   33.67 ms per token,    29.70 tokens per second)
3.17.214.413 I slot print_timing: id  3 | task 0 |       total time =    1358.66 ms /   416 tokens
3.17.214.420 I slot print_timing: id  3 | task 0 |    graphs reused =          1
3.17.214.510 I slot      release: id  3 | task 0 | stop processing: n_tokens = 415, truncated = 0
3.24.312.704 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.252 (> 0.100 thold), f_keep = 0.198
3.24.319.493 I slot launch_slot_: id  3 | task 3 | processing task, is_child = 0
3.26.124.874 I slot print_timing: id  3 | task 3 | prompt eval time =     876.40 ms /   244 tokens (    3.59 ms per token,   278.41 tokens per second)
3.26.124.879 I slot print_timing: id  3 | task 3 |        eval time =     928.87 ms /    29 tokens (   33.17 ms per token,    30.14 tokens per second)
